Xpo7,Xpo7,2.19E-233,2.95E-229,1.44E-01,-6.93E+00,2.16E+03,1.50E+04
Rsad2,Rsad2,1.28E-226,8.59E-223,5.82E-02,-1.72E+01,2.94E+02,5.05E+03
Gch1,Gch1,5.45E-195,2.44E-191,9.56E-02,-1.05E+01,1.63E+02,1.71E+03
Tfdp2,Tfdp2,2.49E-168,8.38E-165,1.66E-01,-6.03E+00,1.17E+03,7.08E+03
Specc1,Specc1,2.84E-143,7.64E-140,2.65E-01,-3.78E+00,2.19E+03,8.25E+03
1300017J02Rik,1300017J02Rik,1.31E-141,2.93E-138,9.61E-02,-1.04E+01,9.31E+01,9.68E+02
Chst10,Chst10,3.20E-138,6.15E-135,6.48E-02,-1.54E+01,3.55E+01,5.47E+02
Brpf3,Brpf3,3.52E-131,5.91E-128,2.86E-01,-3.49E+00,1.37E+03,4.80E+03
Sowaha,Sowaha,4.07E-130,6.08E-127,7.28E-02,-1.37E+01,1.31E+02,1.79E+03
Slfn14,Slfn14,3.98E-129,5.36E-126,1.46E-01,-6.85E+00,3.57E+02,2.44E+03
Cdkn1a,Cdkn1a,2.21E-126,2.70E-123,2.11E+01,2.11E+01,2.46E+03,1.17E+02
Fam117a,Fam117a,1.13E-125,1.26E-122,1.92E-01,-5.21E+00,1.37E+03,7.15E+03
Cdr2,Cdr2,6.46E-114,6.68E-111,1.05E-01,-9.48E+00,5.60E+02,5.31E+03
Bsdc1,Bsdc1,1.03E-108,9.86E-106,2.27E-01,-4.41E+00,1.06E+03,4.67E+03
Zmat3,Zmat3,9.87E-104,8.85E-101,6.83E+00,6.83E+00,1.50E+03,2.19E+02
Stradb,Stradb,1.28E-100,1.07E-97,2.91E-01,-3.44E+00,4.54E+02,1.56E+03
Btrc,Btrc,2.40E-100,1.90E-97,2.00E-01,-5.01E+00,4.41E+02,2.21E+03
Ccl8,Ccl8,4.09E-98,3.06E-95,4.67E+02,4.67E+02,2.60E+03,5.55E+00
Otud5,Otud5,6.94E-91,4.91E-88,4.47E-01,-2.24E+00,1.97E+03,4.42E+03
Ppox,Ppox,1.34E-90,8.70E-88,2.79E-01,-3.59E+00,9.22E+02,3.31E+03
Snca,Snca,1.36E-90,8.70E-88,1.50E-01,-6.68E+00,5.42E+02,3.62E+03
F2r,F2r,3.18E-90,1.94E-87,4.67E+00,4.67E+00,2.92E+03,6.24E+02
Spib,Spib,2.99E-89,1.75E-86,8.71E-02,-1.15E+01,1.42E+02,1.63E+03
Slc25a37,Slc25a37,3.65E-89,2.04E-86,2.03E-01,-4.94E+00,6.66E+03,3.29E+04
Foxo3,Foxo3,3.20E-88,1.72E-85,4.06E-01,-2.46E+00,4.18E+03,1.03E+04
Fbxo30,Fbxo30,6.16E-87,3.19E-84,3.32E-01,-3.01E+00,5.68E+02,1.71E+03
Ift80,Ift80,1.23E-85,6.12E-83,3.35E-01,-2.99E+00,3.56E+02,1.06E+03
Dhrs11,Dhrs11,6.43E-83,3.09E-80,1.84E-01,-5.43E+00,5.65E+02,3.07E+03
Cacna1g,Cacna1g,8.88E-82,4.12E-79,8.67E-02,-1.15E+01,6.50E+01,7.51E+02
Hectd4,Hectd4,9.82E-82,4.40E-79,3.59E-01,-2.78E+00,6.21E+03,1.73E+04
Ranbp10,Ranbp10,4.89E-81,2.12E-78,2.44E-01,-4.10E+00,2.43E+03,9.94E+03
Sppl2b,Sppl2b,6.78E-79,2.85E-76,2.44E-01,-4.09E+00,6.70E+02,2.74E+03
Mxd3,Mxd3,1.02E-78,4.15E-76,2.67E-01,-3.74E+00,2.15E+02,8.06E+02
Samd11,Samd11,3.41E-78,1.35E-75,1.58E-01,-6.32E+00,2.06E+02,1.30E+03
Trak2,Trak2,8.69E-78,3.34E-75,2.65E-01,-3.77E+00,3.56E+03,1.35E+04
Gfap,Gfap,4.21E-77,1.57E-74,9.04E-02,-1.11E+01,3.45E+01,3.82E+02
Marchf3,Marchf3,6.88E-77,2.50E-74,2.36E-01,-4.23E+00,2.89E+02,1.22E+03
Ift140,Ift140,1.17E-76,4.14E-74,2.77E-01,-3.62E+00,8.40E+02,3.04E+03
Spta1,Spta1,4.36E-76,1.50E-73,1.32E-01,-7.57E+00,1.57E+03,1.19E+04
Slc4a1,Slc4a1,1.07E-73,3.61E-71,1.35E-01,-7.40E+00,1.10E+04,8.16E+04
Stx2,Stx2,1.34E-73,4.39E-71,3.88E-01,-2.58E+00,8.36E+02,2.16E+03
H2ac19,H2ac19,1.26E-71,4.04E-69,3.27E-01,-3.05E+00,2.10E+04,6.41E+04
Casp12,Casp12,1.51E-71,4.73E-69,1.26E+01,1.26E+01,3.19E+02,2.52E+01
Slc25a51,Slc25a51,2.09E-71,6.39E-69,2.74E-01,-3.65E+00,2.40E+03,8.75E+03
Gm37527,Gm37527,2.19E-71,6.53E-69,1.40E-01,-7.12E+00,9.34E+01,6.65E+02
Tmcc2,Tmcc2,6.72E-71,1.97E-68,1.35E-01,-7.43E+00,2.74E+03,2.03E+04
E2f2,E2f2,1.62E-70,4.63E-68,2.96E-01,-3.37E+00,3.39E+03,1.14E+04
Serpina3g,Serpina3g,2.07E-70,5.71E-68,5.98E+00,5.98E+00,2.15E+03,3.59E+02
Lpcat1,Lpcat1,2.08E-70,5.71E-68,4.27E-01,-2.34E+00,1.59E+03,3.71E+03
Vopp1,Vopp1,4.93E-70,1.33E-67,2.67E-01,-3.74E+00,5.68E+02,2.13E+03
Fam129c,Fam129c,8.14E-70,2.15E-67,5.63E-02,-1.78E+01,4.50E+01,8.01E+02
2510009E07Rik,2510009E07Rik,1.33E-69,3.44E-67,3.93E+00,3.93E+00,7.41E+02,1.89E+02
Fhdc1,Fhdc1,2.41E-69,6.11E-67,1.05E-01,-9.48E+00,4.06E+02,3.84E+03
F930017D23Rik,F930017D23Rik,2.12E-67,5.29E-65,1.14E-01,-8.75E+00,6.38E+01,5.58E+02
Clcn3,Clcn3,1.43E-66,3.47E-64,4.04E-01,-2.48E+00,1.75E+03,4.34E+03
Kcnj10,Kcnj10,1.44E-66,3.47E-64,1.70E-01,-5.88E+00,1.24E+02,7.31E+02
Cdan1,Cdan1,4.08E-66,9.63E-64,4.91E-01,-2.04E+00,6.86E+02,1.40E+03
Mylk3,Mylk3,7.33E-66,1.70E-63,1.62E-01,-6.16E+00,1.73E+02,1.07E+03
Gm16793,Gm16793,1.20E-65,2.73E-63,7.20E-02,-1.39E+01,1.52E+01,2.12E+02
Tspo2,Tspo2,1.57E-64,3.51E-62,1.52E-01,-6.58E+00,3.05E+02,2.01E+03
Gm10603,Gm10603,5.92E-64,1.30E-61,2.22E-01,-4.50E+00,9.13E+01,4.11E+02
Siglech,Siglech,8.62E-64,1.87E-61,1.44E-01,-6.95E+00,6.69E+01,4.65E+02
Ube2o,Ube2o,8.93E-64,1.91E-61,2.85E-01,-3.51E+00,3.47E+03,1.22E+04
Fam53b,Fam53b,1.70E-63,3.57E-61,3.92E-01,-2.55E+00,2.69E+03,6.86E+03
Slc30a9,Slc30a9,2.37E-63,4.91E-61,4.15E-01,-2.41E+00,1.03E+03,2.49E+03
Tapt1,Tapt1,3.05E-63,6.21E-61,4.29E-01,-2.33E+00,9.02E+02,2.10E+03
Pdk4,Pdk4,5.72E-63,1.15E-60,1.05E+01,1.05E+01,2.94E+02,2.82E+01
Ypel4,Ypel4,1.43E-62,2.82E-60,1.14E-01,-8.81E+00,2.55E+02,2.24E+03
Slc16a10,Slc16a10,1.74E-62,3.39E-60,3.00E-01,-3.34E+00,1.39E+03,4.63E+03
Ppp1r15a,Ppp1r15a,3.16E-62,6.08E-60,2.03E-01,-4.92E+00,1.27E+03,6.23E+03
Ccdc92b,Ccdc92b,3.61E-62,6.83E-60,1.31E-01,-7.65E+00,1.36E+02,1.04E+03
Cpeb4,Cpeb4,4.20E-62,7.84E-60,5.29E-01,-1.89E+00,2.50E+03,4.72E+03
Mfhas1,Mfhas1,6.69E-62,1.23E-59,2.70E-01,-3.70E+00,7.88E+02,2.92E+03
Mki67,Mki67,7.25E-62,1.32E-59,3.40E-01,-2.94E+00,1.90E+04,5.57E+04
Kel,Kel,2.85E-61,5.10E-59,1.45E-01,-6.88E+00,4.22E+02,2.90E+03
Ly6d,Ly6d,3.74E-61,6.62E-59,1.97E-01,-5.08E+00,1.03E+02,5.22E+02
Fech,Fech,3.91E-61,6.83E-59,2.33E-01,-4.29E+00,4.12E+03,1.77E+04
Aspm,Aspm,7.85E-61,1.35E-58,3.59E-01,-2.79E+00,1.58E+03,4.41E+03
Pkn2,Pkn2,1.55E-60,2.64E-58,5.06E-01,-1.98E+00,1.14E+03,2.25E+03
Kcnk6,Kcnk6,2.02E-60,3.39E-58,3.22E+00,3.22E+00,2.36E+03,7.32E+02
H2ac15,H2ac15,3.33E-60,5.52E-58,2.73E-01,-3.66E+00,7.11E+03,2.60E+04
Cyp1b1,Cyp1b1,1.01E-59,1.66E-57,3.51E+00,3.51E+00,2.36E+03,6.72E+02
Nhlrc4,Nhlrc4,1.46E-59,2.37E-57,1.06E-01,-9.42E+00,2.07E+01,1.95E+02
Map4k5,Map4k5,1.52E-59,2.44E-57,4.26E-01,-2.35E+00,1.09E+03,2.55E+03
AW011738,AW011738,1.66E-59,2.63E-57,2.28E-01,-4.39E+00,1.30E+02,5.71E+02
Vash1,Vash1,2.35E-59,3.68E-57,5.90E+00,5.90E+00,6.88E+02,1.17E+02
Anln,Anln,3.26E-59,5.04E-57,4.47E-01,-2.24E+00,1.23E+03,2.75E+03
Ghr,Ghr,7.26E-59,1.11E-56,1.54E+01,1.54E+01,2.99E+03,1.94E+02
Fam220a,Fam220a,1.19E-58,1.79E-56,1.53E-01,-6.55E+00,5.34E+02,3.50E+03
Tbcel,Tbcel,3.67E-58,5.49E-56,3.86E-01,-2.59E+00,9.66E+02,2.50E+03
Dusp4,Dusp4,6.21E-58,9.17E-56,8.39E+00,8.39E+00,4.93E+02,5.88E+01
Pfkl,Pfkl,1.12E-57,1.63E-55,2.30E+00,2.30E+00,2.07E+03,9.01E+02
H2ac10,H2ac10,2.04E-57,2.95E-55,3.22E-01,-3.10E+00,6.92E+03,2.15E+04
Rnf139,Rnf139,2.22E-57,3.17E-55,4.70E-01,-2.13E+00,7.11E+02,1.51E+03
Sox6,Sox6,2.27E-57,3.22E-55,1.42E-01,-7.07E+00,7.66E+02,5.41E+03
Ube2r2,Ube2r2,3.76E-57,5.26E-55,4.92E-01,-2.03E+00,1.26E+03,2.56E+03
Hist1h2al,Hist1h2al,5.53E-57,7.67E-55,3.19E-01,-3.14E+00,2.33E+02,7.31E+02
Rfx2,Rfx2,6.03E-57,8.28E-55,2.73E-01,-3.67E+00,3.39E+02,1.24E+03
Klf3,Klf3,1.02E-56,1.39E-54,4.46E-01,-2.24E+00,2.64E+03,5.93E+03
Isg15,Isg15,1.13E-56,1.52E-54,1.25E-01,-8.02E+00,6.89E+01,5.52E+02
Dab2,Dab2,1.32E-56,1.75E-54,1.29E+01,1.29E+01,4.76E+03,3.70E+02
Isg20,Isg20,5.67E-56,7.47E-54,1.77E-01,-5.64E+00,5.80E+02,3.27E+03
Ncoa7,Ncoa7,8.73E-56,1.14E-53,3.67E-01,-2.72E+00,5.45E+02,1.48E+03
Marchf8,Marchf8,4.01E-55,5.19E-53,3.54E-01,-2.83E+00,1.58E+03,4.45E+03
Kcna2,Kcna2,1.33E-54,1.71E-52,6.87E-02,-1.46E+01,2.42E+01,3.53E+02
Med12,Med12,3.56E-54,4.51E-52,5.26E-01,-1.90E+00,1.64E+03,3.11E+03
Ppm1l,Ppm1l,4.29E-54,5.39E-52,2.18E-01,-4.58E+00,2.54E+02,1.16E+03
Rbm38,Rbm38,8.19E-54,1.02E-51,3.80E-01,-2.63E+00,3.36E+03,8.84E+03
Klhl25,Klhl25,2.87E-53,3.53E-51,3.51E-01,-2.85E+00,3.46E+02,9.87E+02
Tcp11l1,Tcp11l1,5.21E-53,6.37E-51,3.10E+00,3.10E+00,6.95E+02,2.24E+02
Ube2l6,Ube2l6,6.78E-53,8.22E-51,1.81E-01,-5.51E+00,1.12E+03,6.19E+03
Marchf2,Marchf2,7.36E-52,8.84E-50,3.45E-01,-2.90E+00,1.50E+03,4.36E+03
Cish,Cish,1.01E-51,1.21E-49,5.62E+00,5.62E+00,8.74E+02,1.55E+02
Slc6a9,Slc6a9,1.03E-51,1.21E-49,1.45E-01,-6.88E+00,3.34E+02,2.30E+03
Bach2,Bach2,1.52E-51,1.78E-49,1.40E-01,-7.12E+00,2.43E+02,1.73E+03
Garem1,Garem1,5.43E-51,6.29E-49,1.88E-01,-5.32E+00,1.25E+02,6.66E+02
Epb42,Epb42,4.23E-50,4.86E-48,1.16E-01,-8.65E+00,7.05E+02,6.09E+03
Ago2,Ago2,6.09E-50,6.94E-48,4.36E-01,-2.30E+00,5.89E+03,1.35E+04
Dcaf12,Dcaf12,1.13E-49,1.27E-47,3.27E-01,-3.06E+00,1.95E+03,5.96E+03
Cd19,Cd19,1.97E-49,2.21E-47,1.60E-01,-6.26E+00,1.47E+02,9.23E+02
Sh3tc2,Sh3tc2,2.06E-49,2.29E-47,6.82E-02,-1.47E+01,8.68E+01,1.27E+03
Phlpp2,Phlpp2,3.87E-49,4.26E-47,2.89E-01,-3.46E+00,4.67E+02,1.61E+03
Bcl2l1,Bcl2l1,4.99E-49,5.46E-47,4.45E-01,-2.25E+00,2.18E+03,4.89E+03
Hbq1b,Hbq1b,5.73E-49,6.22E-47,1.31E-01,-7.65E+00,6.17E+01,4.72E+02
Pkhd1l1,Pkhd1l1,6.12E-49,6.58E-47,1.02E-01,-9.84E+00,3.66E+02,3.60E+03
Zc3hav1,Zc3hav1,7.35E-49,7.85E-47,6.08E-01,-1.64E+00,2.81E+03,4.63E+03
Dapk2,Dapk2,1.00E-48,1.06E-46,3.35E-01,-2.98E+00,2.40E+02,7.17E+02
Phlda3,Phlda3,1.80E-48,1.89E-46,1.56E+01,1.56E+01,9.68E+02,6.19E+01
Hace1,Hace1,1.85E-48,1.93E-46,3.69E-01,-2.71E+00,5.95E+02,1.61E+03
Stom,Stom,2.56E-48,2.65E-46,4.41E-01,-2.27E+00,2.95E+03,6.68E+03
Epb41,Epb41,2.63E-48,2.70E-46,2.78E-01,-3.60E+00,8.28E+03,2.98E+04
Cenpf,Cenpf,3.71E-48,3.78E-46,3.84E-01,-2.60E+00,2.15E+03,5.60E+03
Rnf123,Rnf123,5.13E-48,5.18E-46,2.97E-01,-3.37E+00,1.84E+03,6.19E+03
Ccnd2,Ccnd2,9.65E-48,9.68E-46,3.93E+00,3.93E+00,7.60E+03,1.93E+03
Podxl,Podxl,1.40E-47,1.40E-45,9.64E+00,9.64E+00,1.37E+03,1.43E+02
Trim58,Trim58,1.51E-47,1.49E-45,3.28E-01,-3.05E+00,4.80E+02,1.46E+03
Plagl1,Plagl1,2.04E-47,2.01E-45,8.39E+00,8.39E+00,1.09E+03,1.30E+02
H1f2,H1f2,3.75E-47,3.65E-45,3.77E-01,-2.65E+00,1.58E+04,4.20E+04
Rad23a,Rad23a,4.87E-47,4.71E-45,2.92E-01,-3.42E+00,1.39E+03,4.75E+03
H4c14,H4c14,5.05E-47,4.86E-45,3.04E-01,-3.29E+00,5.69E+03,1.87E+04
Tmod1,Tmod1,5.50E-47,5.25E-45,1.75E-01,-5.71E+00,2.95E+02,1.69E+03
Isca1,Isca1,8.97E-47,8.49E-45,2.71E-01,-3.68E+00,1.66E+03,6.13E+03
Sptb,Sptb,1.22E-46,1.15E-44,2.86E-01,-3.50E+00,7.86E+03,2.75E+04
Herc1,Herc1,2.00E-46,1.87E-44,4.26E-01,-2.35E+00,5.63E+03,1.32E+04
H2ac4,H2ac4,8.13E-46,7.54E-44,2.88E-01,-3.47E+00,5.89E+03,2.04E+04
Ibtk,Ibtk,1.01E-45,9.33E-44,4.39E-01,-2.28E+00,1.53E+03,3.48E+03
Dcaf6,Dcaf6,2.40E-45,2.19E-43,4.19E-01,-2.39E+00,7.04E+02,1.68E+03
Fzr1,Fzr1,4.26E-45,3.87E-43,3.64E-01,-2.75E+00,1.95E+03,5.37E+03
Gabpb2,Gabpb2,7.66E-45,6.92E-43,5.59E-01,-1.79E+00,2.49E+03,4.45E+03
Cyp26b1,Cyp26b1,3.15E-44,2.82E-42,6.26E+01,6.26E+01,6.90E+02,1.10E+01
Optn,Optn,3.83E-44,3.41E-42,4.22E-01,-2.37E+00,6.82E+02,1.61E+03
Sfrp1,Sfrp1,3.90E-44,3.45E-42,6.39E+00,6.39E+00,4.81E+02,7.53E+01
