Cxcl12,Cxcl12,8.79E-26,1.35E-21,3.03E+00,3.03E+00,2.29E+03,7.56E+02
Vwf,Vwf,2.08E-19,1.59E-15,4.67E+00,4.67E+00,2.30E+03,4.92E+02
Eng,Eng,4.18E-19,2.14E-15,1.88E+00,1.88E+00,7.17E+02,3.81E+02
Vegfa,Vegfa,7.66E-16,2.94E-12,2.26E+00,2.26E+00,1.68E+03,7.44E+02
Bsg,Bsg,1.37E-15,4.20E-12,1.46E+00,1.46E+00,4.86E+03,3.32E+03
Acer2,Acer2,2.02E-15,5.17E-12,4.90E+00,4.90E+00,4.04E+02,8.24E+01
Flt1,Flt1,1.65E-12,3.61E-09,1.98E+00,1.98E+00,1.93E+03,9.73E+02
Kdr,Kdr,3.10E-12,5.95E-09,2.76E+00,2.76E+00,5.26E+02,1.91E+02
Kcnj8,Kcnj8,6.65E-12,1.14E-08,3.34E+00,3.34E+00,1.06E+02,3.19E+01
Abcc9,Abcc9,2.64E-11,4.05E-08,2.85E+00,2.85E+00,3.49E+02,1.23E+02
Acvrl1,Acvrl1,1.73E-09,2.42E-06,1.84E+00,1.84E+00,3.37E+02,1.84E+02
Depp1,Depp1,2.01E-09,2.58E-06,9.44E+00,9.44E+00,7.35E+01,7.78E+00
Adm,Adm,3.15E-09,3.73E-06,6.40E+00,6.40E+00,7.72E+01,1.21E+01
Ptprb,Ptprb,4.90E-09,5.38E-06,1.52E+00,1.52E+00,1.43E+03,9.46E+02
Adgrf5,Adgrf5,6.05E-09,6.20E-06,1.45E+00,1.45E+00,7.83E+02,5.39E+02
Clec14a,Clec14a,3.00E-08,2.89E-05,2.25E+00,2.25E+00,1.26E+02,5.58E+01
Igfbp7,Igfbp7,4.71E-08,4.26E-05,1.67E+00,1.67E+00,3.79E+02,2.26E+02
Rgs5,Rgs5,2.04E-07,1.74E-04,1.43E+00,1.43E+00,1.14E+03,7.93E+02
Ly6a,Ly6a,4.66E-07,3.77E-04,2.11E+00,2.11E+00,2.07E+02,9.77E+01
Abi3bp,Abi3bp,6.49E-07,4.98E-04,4.01E-01,-2.49E+00,3.04E+02,7.59E+02
Itga1,Itga1,9.98E-07,7.30E-04,1.40E+00,1.40E+00,2.77E+02,1.98E+02
Casq2,Casq2,1.31E-06,9.14E-04,3.53E+00,3.53E+00,5.05E+01,1.43E+01
Lef1,Lef1,2.04E-06,1.36E-03,1.52E+00,1.52E+00,2.15E+02,1.41E+02
Smad6,Smad6,2.34E-06,1.50E-03,2.26E+00,2.26E+00,1.33E+02,5.90E+01
Klhl14,Klhl14,2.57E-06,1.58E-03,4.96E-01,-2.01E+00,6.32E+01,1.27E+02
Gm45837,Gm45837,3.90E-06,2.28E-03,1.41E+00,1.41E+00,4.28E+02,3.03E+02
Slc2a1,Slc2a1,4.00E-06,2.28E-03,1.67E+00,1.67E+00,2.24E+03,1.34E+03
Ier3,Ier3,6.26E-06,3.43E-03,2.24E+00,2.24E+00,1.07E+02,4.78E+01
Pecam1,Pecam1,1.21E-05,6.26E-03,1.68E+00,1.68E+00,3.38E+02,2.01E+02
Shisa2,Shisa2,1.23E-05,6.26E-03,4.88E-01,-2.05E+00,4.76E+01,9.76E+01
Notch4,Notch4,1.26E-05,6.26E-03,1.76E+00,1.76E+00,3.36E+02,1.90E+02
Id1,Id1,1.37E-05,6.59E-03,1.49E+00,1.49E+00,3.00E+02,2.01E+02
Rasip1,Rasip1,1.64E-05,7.62E-03,1.38E+00,1.38E+00,1.99E+02,1.44E+02
Ntsr2,Ntsr2,1.78E-05,8.05E-03,1.30E+00,1.30E+00,1.44E+03,1.10E+03
Col4a1,Col4a1,2.21E-05,9.66E-03,1.44E+00,1.44E+00,1.18E+03,8.20E+02
Pgk1,Pgk1,2.26E-05,9.66E-03,1.16E+00,1.16E+00,2.29E+03,1.98E+03
Flt4,Flt4,3.15E-05,1.31E-02,1.69E+00,1.69E+00,1.17E+02,6.93E+01
Slc5a3,Slc5a3,3.35E-05,1.35E-02,8.01E-01,-1.25E+00,7.29E+02,9.10E+02
Apln,Apln,3.53E-05,1.38E-02,1.57E+00,1.57E+00,2.89E+02,1.84E+02
H2bc3,H2bc3,3.67E-05,1.38E-02,6.49E-01,-1.54E+00,7.92E+01,1.22E+02
