H2-Ab1,H2-Ab1,6.61E-39,8.68E-35,2.36E-01,-4.25E+00,2.41E+02,1.02E+03
Ly86,Ly86,3.41E-32,2.23E-28,3.89E-01,-2.57E+00,1.15E+03,2.97E+03
H2-Eb1,H2-Eb1,1.63E-30,7.13E-27,2.78E-01,-3.60E+00,2.49E+02,8.97E+02
Zbtb16,Zbtb16,6.69E-26,2.19E-22,4.10E+00,4.10E+00,4.10E+02,9.99E+01
Cd74,Cd74,5.47E-19,1.44E-15,2.34E-01,-4.28E+00,1.11E+03,4.75E+03
Dcxr,Dcxr,9.55E-18,2.09E-14,2.17E+00,2.17E+00,4.14E+02,1.91E+02
Gtse1,Gtse1,3.62E-17,6.79E-14,3.53E+00,3.53E+00,1.18E+02,3.34E+01
Fam107a,Fam107a,7.17E-15,1.18E-11,2.77E+00,2.77E+00,9.60E+02,3.47E+02
H2-Aa,H2-Aa,7.48E-14,1.09E-10,2.22E-01,-4.51E+00,2.17E+02,9.80E+02
Wfdc2,Wfdc2,1.13E-13,1.48E-10,1.73E+00,1.73E+00,6.28E+02,3.63E+02
Scd1,Scd1,2.78E-12,3.31E-09,7.18E-01,-1.39E+00,8.74E+03,1.22E+04
Sesn1,Sesn1,1.88E-11,2.06E-08,1.55E+00,1.55E+00,2.43E+03,1.57E+03
Gm42047,Gm42047,2.06E-11,2.08E-08,3.85E+00,3.85E+00,1.17E+02,3.04E+01
Arhgap19,Arhgap19,3.46E-11,3.25E-08,1.48E+00,1.48E+00,1.10E+03,7.43E+02
Cdkn1a,Cdkn1a,1.13E-10,9.62E-08,1.82E+00,1.82E+00,5.96E+03,3.27E+03
Etnppl,Etnppl,1.17E-10,9.62E-08,5.12E+00,5.12E+00,4.49E+02,8.77E+01
Nefl,Nefl,1.26E-10,9.72E-08,6.96E-01,-1.44E+00,1.96E+05,2.81E+05
Nefm,Nefm,1.70E-10,1.24E-07,6.71E-01,-1.49E+00,7.38E+04,1.10E+05
Adm,Adm,2.04E-10,1.41E-07,2.99E+00,2.99E+00,1.38E+02,4.60E+01
Ccn2,Ccn2,4.36E-10,2.86E-07,3.13E+00,3.13E+00,2.24E+02,7.15E+01
Thbs4,Thbs4,5.73E-10,3.46E-07,2.16E+00,2.16E+00,5.83E+02,2.71E+02
Fbn1,Fbn1,5.89E-10,3.46E-07,1.81E+00,1.81E+00,3.23E+02,1.78E+02
Aspn,Aspn,6.07E-10,3.46E-07,2.33E+00,2.33E+00,2.00E+02,8.60E+01
Fkbp5,Fkbp5,6.93E-10,3.79E-07,1.88E+00,1.88E+00,8.85E+02,4.70E+02
Tns2,Tns2,1.18E-09,6.17E-07,1.75E+00,1.75E+00,9.13E+02,5.21E+02
Ccng1,Ccng1,1.47E-09,7.42E-07,1.51E+00,1.51E+00,2.12E+03,1.41E+03
Tspan12,Tspan12,2.11E-09,1.03E-06,7.39E-01,-1.35E+00,2.35E+03,3.18E+03
Prodh,Prodh,2.36E-09,1.10E-06,2.07E+00,2.07E+00,7.87E+02,3.79E+02
Calcb,Calcb,2.66E-09,1.21E-06,7.06E-01,-1.42E+00,1.60E+04,2.27E+04
Mertk,Mertk,3.07E-09,1.33E-06,1.78E+00,1.78E+00,4.64E+02,2.61E+02
Lims2,Lims2,3.21E-09,1.33E-06,1.54E+00,1.54E+00,1.41E+03,9.12E+02
Slc43a1,Slc43a1,3.23E-09,1.33E-06,3.80E+00,3.80E+00,1.85E+02,4.88E+01
Mrgpra2b,Mrgpra2b,4.14E-09,1.64E-06,5.13E-01,-1.95E+00,7.57E+02,1.48E+03
Thsd4,Thsd4,5.62E-09,2.17E-06,2.08E+00,2.08E+00,1.97E+02,9.47E+01
Mrgprx3-ps,Mrgprx3-ps,6.50E-09,2.44E-06,6.25E-01,-1.60E+00,9.59E+02,1.53E+03
Mindy4b-ps,Mindy4b-ps,7.52E-09,2.74E-06,1.34E+00,1.34E+00,9.46E+02,7.05E+02
Idi1,Idi1,8.88E-09,3.15E-06,7.79E-01,-1.28E+00,4.29E+03,5.51E+03
Adra2b,Adra2b,1.58E-08,5.44E-06,3.02E+00,3.02E+00,2.35E+02,7.78E+01
Lox,Lox,1.62E-08,5.44E-06,2.26E+00,2.26E+00,2.54E+02,1.12E+02
Pecam1,Pecam1,1.81E-08,5.93E-06,1.98E+00,1.98E+00,5.86E+02,2.95E+02
Prrg3,Prrg3,2.20E-08,7.03E-06,1.49E+00,1.49E+00,6.88E+02,4.60E+02
Cavin1,Cavin1,2.59E-08,8.10E-06,1.56E+00,1.56E+00,1.21E+04,7.76E+03
Plin4,Plin4,3.14E-08,9.59E-06,1.07E+01,1.07E+01,3.20E+02,3.00E+01
Galnt16,Galnt16,3.42E-08,1.01E-05,1.74E+00,1.74E+00,5.07E+02,2.91E+02
Cox4i2,Cox4i2,3.47E-08,1.01E-05,2.28E+00,2.28E+00,1.69E+02,7.40E+01
Galnt15,Galnt15,3.82E-08,1.09E-05,3.45E+00,3.45E+00,1.64E+02,4.76E+01
Vwf,Vwf,3.97E-08,1.09E-05,2.16E+00,2.16E+00,6.35E+02,2.94E+02
Pla2g3,Pla2g3,4.01E-08,1.09E-05,7.37E-01,-1.36E+00,9.09E+02,1.23E+03
Rhoj,Rhoj,4.07E-08,1.09E-05,1.50E+00,1.50E+00,3.79E+02,2.52E+02
Pdk4,Pdk4,4.50E-08,1.18E-05,2.65E+00,2.65E+00,2.83E+02,1.07E+02
1110008P14Rik,1110008P14Rik,4.87E-08,1.25E-05,6.63E-01,-1.51E+00,3.65E+03,5.51E+03
Trp53inp1,Trp53inp1,5.25E-08,1.32E-05,1.78E+00,1.78E+00,3.25E+02,1.82E+02
Ccn5,Ccn5,6.02E-08,1.49E-05,3.13E+00,3.13E+00,1.07E+02,3.42E+01
Ass1,Ass1,6.82E-08,1.66E-05,1.23E+00,1.23E+00,6.38E+03,5.17E+03
Adgrl4,Adgrl4,7.10E-08,1.69E-05,1.68E+00,1.68E+00,2.54E+02,1.52E+02
Bag3,Bag3,7.74E-08,1.81E-05,7.51E-01,-1.33E+00,5.45E+03,7.27E+03
Gm42164,Gm42164,8.19E-08,1.89E-05,4.01E-01,-2.49E+00,4.34E+01,1.08E+02
Limch1,Limch1,8.56E-08,1.94E-05,1.38E+00,1.38E+00,4.47E+03,3.24E+03
Glyat,Glyat,9.21E-08,2.02E-05,2.85E-01,-3.51E+00,2.11E+01,7.41E+01
Angpt2,Angpt2,9.23E-08,2.02E-05,1.75E+00,1.75E+00,1.36E+03,7.77E+02
Mest,Mest,1.07E-07,2.30E-05,7.79E-01,-1.28E+00,1.20E+03,1.54E+03
Otud7b,Otud7b,1.22E-07,2.55E-05,1.39E+00,1.39E+00,1.92E+03,1.38E+03
Cyp2d22,Cyp2d22,1.22E-07,2.55E-05,1.83E+00,1.83E+00,1.18E+03,6.48E+02
Zfp24,Zfp24,1.25E-07,2.57E-05,1.26E+00,1.26E+00,1.17E+03,9.25E+02
Kcnj8,Kcnj8,1.37E-07,2.74E-05,2.40E+00,2.40E+00,1.51E+02,6.30E+01
Cavin2,Cavin2,1.38E-07,2.74E-05,1.78E+00,1.78E+00,6.36E+02,3.57E+02
Rlbp1,Rlbp1,1.44E-07,2.82E-05,5.00E-01,-2.00E+00,1.57E+02,3.14E+02
Cfh,Cfh,1.47E-07,2.84E-05,1.79E+00,1.79E+00,8.84E+02,4.94E+02
Cntf,Cntf,1.64E-07,3.13E-05,1.67E+00,1.67E+00,4.00E+03,2.39E+03
Pidd1,Pidd1,1.67E-07,3.13E-05,1.59E+00,1.59E+00,3.45E+02,2.16E+02
Rpl22l1,Rpl22l1,1.72E-07,3.19E-05,6.84E-01,-1.46E+00,1.01E+03,1.47E+03
Nefh,Nefh,1.77E-07,3.22E-05,6.48E-01,-1.54E+00,9.00E+03,1.39E+04
Fgf9,Fgf9,1.94E-07,3.44E-05,6.17E-01,-1.62E+00,4.14E+02,6.71E+02
Pamr1,Pamr1,1.96E-07,3.44E-05,2.14E+00,2.14E+00,1.63E+02,7.63E+01
Nqo2,Nqo2,1.99E-07,3.44E-05,7.56E-01,-1.32E+00,1.37E+03,1.82E+03
Sh3bgr,Sh3bgr,1.99E-07,3.44E-05,7.06E-01,-1.42E+00,4.61E+02,6.53E+02
Eln,Eln,2.08E-07,3.55E-05,2.95E+00,2.95E+00,1.88E+02,6.38E+01
Fmo2,Fmo2,2.23E-07,3.76E-05,1.99E+00,1.99E+00,5.43E+02,2.73E+02
Map3k20,Map3k20,2.37E-07,3.93E-05,1.44E+00,1.44E+00,5.73E+02,3.99E+02
Arrdc3,Arrdc3,2.40E-07,3.94E-05,1.35E+00,1.35E+00,5.69E+02,4.21E+02
Ranbp9,Ranbp9,2.56E-07,4.15E-05,1.59E+00,1.59E+00,5.24E+02,3.29E+02
Aldoc,Aldoc,2.73E-07,4.37E-05,1.49E+00,1.49E+00,1.54E+04,1.04E+04
Ebp,Ebp,2.91E-07,4.61E-05,7.52E-01,-1.33E+00,1.53E+03,2.04E+03
Nup93,Nup93,3.05E-07,4.74E-05,7.73E-01,-1.29E+00,3.08E+03,3.98E+03
Ccl2,Ccl2,3.07E-07,4.74E-05,4.31E-01,-2.32E+00,1.35E+02,3.14E+02
Gsn,Gsn,3.44E-07,5.25E-05,1.45E+00,1.45E+00,2.79E+04,1.92E+04
Cx3cr1,Cx3cr1,3.87E-07,5.83E-05,2.91E-01,-3.43E+00,2.75E+01,9.45E+01
Pld1,Pld1,4.04E-07,6.02E-05,1.51E+00,1.51E+00,2.88E+02,1.90E+02
Ccl6,Ccl6,4.13E-07,6.09E-05,2.91E+00,2.91E+00,1.51E+02,5.19E+01
Clec14a,Clec14a,4.37E-07,6.38E-05,2.08E+00,2.08E+00,1.99E+02,9.55E+01
Plat,Plat,4.45E-07,6.42E-05,1.41E+00,1.41E+00,1.13E+03,7.98E+02
