Sfrp5,Sfrp5,3.37E-21,3.03E-17,1.97E-01,-5.07E+00,3.95E+02,2.00E+03
Fgf1,Fgf1,3.85E-21,3.03E-17,2.51E-01,-3.98E+00,1.36E+02,5.43E+02
Gramd1b,Gramd1b,4.37E-18,2.11E-14,2.61E+00,2.61E+00,1.70E+03,6.54E+02
Ccdc9b,Ccdc9b,5.37E-18,2.11E-14,3.84E-01,-2.60E+00,4.95E+02,1.29E+03
Cdkn1a,Cdkn1a,9.62E-18,3.03E-14,1.24E+01,1.24E+01,2.92E+03,2.36E+02
Bhlhe41,Bhlhe41,2.18E-16,5.73E-13,1.49E-01,-6.69E+00,2.84E+02,1.90E+03
Il4ra,Il4ra,1.14E-14,2.56E-11,2.56E+00,2.56E+00,2.18E+03,8.51E+02
Clca3a1,Clca3a1,1.43E-14,2.82E-11,7.32E+00,7.32E+00,2.69E+02,3.68E+01
Il17re,Il17re,3.53E-14,5.61E-11,1.76E-01,-5.68E+00,4.05E+01,2.30E+02
Apoc1,Apoc1,3.56E-14,5.61E-11,5.37E+00,5.37E+00,3.05E+03,5.68E+02
Upp1,Upp1,1.20E-12,1.72E-09,5.21E+00,5.21E+00,1.18E+02,2.27E+01
Snord22,Snord22,1.73E-12,2.27E-09,2.50E+00,2.50E+00,1.71E+02,6.84E+01
Gdf15,Gdf15,2.80E-12,3.39E-09,7.99E+00,7.99E+00,9.29E+01,1.16E+01
Parvg,Parvg,3.76E-12,3.84E-09,6.89E+00,6.89E+00,2.97E+02,4.31E+01
Plvap,Plvap,3.83E-12,3.84E-09,1.98E+00,1.98E+00,2.79E+03,1.41E+03
Tmem131l,Tmem131l,3.90E-12,3.84E-09,1.83E+00,1.83E+00,7.84E+02,4.30E+02
Map6,Map6,5.41E-12,5.01E-09,4.60E-01,-2.18E+00,2.32E+02,5.05E+02
Igha,Igha,6.65E-12,5.82E-09,2.89E+01,2.89E+01,6.51E+02,2.25E+01
Galnt6,Galnt6,9.52E-12,7.64E-09,7.11E+00,7.11E+00,2.14E+02,3.01E+01
Lepr,Lepr,9.70E-12,7.64E-09,4.17E+00,4.17E+00,4.21E+02,1.01E+02
Tns1,Tns1,1.30E-11,9.79E-09,6.68E-01,-1.50E+00,3.76E+04,5.62E+04
Syp,Syp,1.54E-11,1.11E-08,1.37E-01,-7.32E+00,6.10E+01,4.47E+02
Fam20c,Fam20c,1.81E-11,1.24E-08,1.36E-01,-7.35E+00,2.07E+02,1.52E+03
Gm48832,Gm48832,3.04E-11,1.99E-08,2.57E+00,2.57E+00,4.33E+02,1.68E+02
Serpine1,Serpine1,4.75E-11,2.97E-08,1.57E-01,-6.36E+00,1.92E+02,1.22E+03
Cdh23,Cdh23,4.90E-11,2.97E-08,3.54E-01,-2.82E+00,1.44E+02,4.06E+02
Ciart,Ciart,8.08E-11,4.71E-08,3.74E-01,-2.67E+00,9.20E+01,2.46E+02
Synpo2,Synpo2,9.60E-11,5.27E-08,1.46E-01,-6.85E+00,1.10E+03,7.52E+03
Abca8b,Abca8b,9.70E-11,5.27E-08,5.23E-01,-1.91E+00,4.66E+02,8.90E+02
Epb41l4a,Epb41l4a,1.18E-10,6.20E-08,3.62E-01,-2.76E+00,7.10E+01,1.96E+02
Vgll3,Vgll3,1.92E-10,9.76E-08,3.30E-01,-3.03E+00,2.71E+02,8.21E+02
Jaml,Jaml,2.00E-10,9.85E-08,7.19E+00,7.19E+00,1.01E+02,1.40E+01
Ccn5,Ccn5,2.23E-10,1.04E-07,2.24E-01,-4.46E+00,7.49E+01,3.34E+02
Efcab8,Efcab8,2.24E-10,1.04E-07,2.95E-01,-3.39E+00,3.56E+01,1.21E+02
Scd2,Scd2,2.32E-10,1.05E-07,3.33E-01,-3.00E+00,3.14E+03,9.42E+03
Wfdc17,Wfdc17,3.10E-10,1.35E-07,3.39E+00,3.39E+00,1.65E+02,4.87E+01
Gnao1,Gnao1,3.16E-10,1.35E-07,3.10E-01,-3.23E+00,1.70E+02,5.49E+02
Dclk3,Dclk3,5.46E-10,2.26E-07,1.76E-01,-5.69E+00,2.01E+01,1.15E+02
Hr,Hr,7.16E-10,2.89E-07,9.95E-02,-1.01E+01,2.71E+02,2.72E+03
Hs3st3b1,Hs3st3b1,7.76E-10,3.06E-07,9.66E+00,9.66E+00,1.55E+03,1.60E+02
Gm38034,Gm38034,8.07E-10,3.06E-07,2.06E+00,2.06E+00,5.69E+02,2.77E+02
Hip1,Hip1,8.15E-10,3.06E-07,5.82E-01,-1.72E+00,2.31E+03,3.97E+03
Snhg15,Snhg15,9.12E-10,3.34E-07,3.62E+00,3.62E+00,1.82E+02,5.03E+01
Cd3e,Cd3e,1.61E-09,5.71E-07,6.14E+00,6.14E+00,1.69E+02,2.76E+01
Unc79,Unc79,1.63E-09,5.71E-07,9.94E-02,-1.01E+01,4.77E+00,4.80E+01
Trp53inp1,Trp53inp1,2.40E-09,8.23E-07,1.35E+01,1.35E+01,7.57E+03,5.60E+02
Clcf1,Clcf1,2.92E-09,9.71E-07,2.28E+00,2.28E+00,1.51E+02,6.62E+01
Lbp,Lbp,2.96E-09,9.71E-07,3.80E-01,-2.63E+00,5.96E+02,1.57E+03
Csf2rb2,Csf2rb2,3.84E-09,1.23E-06,2.66E+00,2.66E+00,1.05E+03,3.96E+02
Gm26447,Gm26447,4.14E-09,1.30E-06,2.45E+00,2.45E+00,4.25E+02,1.74E+02
Rasl12,Rasl12,4.77E-09,1.45E-06,2.91E-01,-3.43E+00,4.92E+02,1.69E+03
Cd59a,Cd59a,4.77E-09,1.45E-06,4.14E-01,-2.42E+00,4.78E+02,1.16E+03
Rhoj,Rhoj,5.05E-09,1.50E-06,1.68E+00,1.68E+00,1.24E+03,7.37E+02
Mest,Mest,5.16E-09,1.50E-06,1.87E-01,-5.34E+00,3.04E+02,1.62E+03
Adamts4,Adamts4,5.28E-09,1.51E-06,4.08E+00,4.08E+00,1.65E+02,4.05E+01
Hdc,Hdc,6.61E-09,1.86E-06,7.28E+00,7.28E+00,2.96E+02,4.07E+01
Hipk3,Hipk3,6.80E-09,1.88E-06,5.11E-01,-1.96E+00,5.40E+03,1.06E+04
Nr1d2,Nr1d2,8.68E-09,2.36E-06,5.43E-01,-1.84E+00,1.44E+03,2.65E+03
Bhlhe40,Bhlhe40,9.64E-09,2.57E-06,4.93E-01,-2.03E+00,1.16E+03,2.36E+03
Rgs2,Rgs2,1.12E-08,2.94E-06,1.44E+01,1.44E+01,2.21E+03,1.54E+02
Cd300lf,Cd300lf,1.23E-08,3.19E-06,8.63E+00,8.63E+00,6.11E+01,7.09E+00
