Anxa2,Anxa2,1.26E-24,1.74E-20,4.38E+00,4.38E+00,1.13E+04,2.58E+03,
Krt19,Krt19,7.96E-24,5.48E-20,4.38E+01,4.38E+01,1.51E+03,3.44E+01,
H2-Ab1,H2-Ab1,4.46E-23,2.05E-19,2.79E-01,-3.59E+00,4.08E+02,1.46E+03,
Ldhd,Ldhd,7.31E-23,2.52E-19,4.54E-01,-2.20E+00,7.70E+02,1.70E+03,
Ckap2,Ckap2,2.16E-21,5.94E-18,2.43E+01,2.43E+01,2.56E+02,1.06E+01,
Meox1,Meox1,2.86E-20,6.57E-17,3.41E+00,3.41E+00,1.18E+03,3.48E+02,
Tagln2,Tagln2,3.78E-20,7.43E-17,2.69E+00,2.69E+00,7.82E+03,2.91E+03,
Prc1,Prc1,9.98E-20,1.72E-16,1.32E+01,1.32E+01,4.64E+02,3.52E+01,
Acer2,Acer2,1.69E-19,2.59E-16,5.33E+00,5.33E+00,2.63E+03,4.93E+02,
S100a11,S100a11,4.65E-19,6.41E-16,3.18E+00,3.18E+00,4.51E+03,1.42E+03,
Pbk,Pbk,5.72E-19,7.16E-16,2.47E+01,2.47E+01,1.35E+02,5.48E+00,
Pecam1,Pecam1,6.32E-19,7.26E-16,2.55E+00,2.55E+00,5.92E+03,2.32E+03,
Tpx2,Tpx2,2.84E-18,3.01E-15,1.01E+01,1.01E+01,1.63E+02,1.61E+01,
Nnmt,Nnmt,7.19E-18,7.07E-15,3.01E+00,3.01E+00,4.28E+02,1.42E+02,
Olfml2b,Olfml2b,9.65E-18,8.86E-15,3.55E+00,3.55E+00,1.24E+03,3.50E+02,
Pimreg,Pimreg,1.30E-17,1.12E-14,1.85E+01,1.85E+01,2.43E+02,1.31E+01,
Cldn15,Cldn15,1.39E-17,1.12E-14,3.99E+00,3.99E+00,6.12E+02,1.53E+02,
Prnd,Prnd,2.05E-17,1.57E-14,2.64E+00,2.64E+00,4.44E+02,1.68E+02,
Capg,Capg,2.47E-17,1.79E-14,4.32E+00,4.32E+00,1.74E+03,4.03E+02,
Top2a,Top2a,3.25E-17,2.24E-14,9.18E+00,9.18E+00,3.25E+02,3.55E+01,
Emp1,Emp1,3.96E-17,2.60E-14,3.70E+00,3.70E+00,1.61E+03,4.34E+02,
Ccnb1,Ccnb1,4.75E-17,2.97E-14,1.54E+01,1.54E+01,2.46E+02,1.60E+01,
Pla2g2d,Pla2g2d,5.45E-17,3.26E-14,4.10E-02,-2.44E+01,2.90E+00,7.07E+01,
Mgl2,Mgl2,7.20E-17,4.13E-14,2.78E-01,-3.60E+00,9.28E+01,3.34E+02,
H2-Aa,H2-Aa,9.28E-17,5.04E-14,2.51E-01,-3.98E+00,3.22E+02,1.28E+03,
Tgfb1i1,Tgfb1i1,9.51E-17,5.04E-14,2.30E+00,2.30E+00,1.93E+03,8.40E+02,
Nid2,Nid2,1.21E-16,6.19E-14,2.60E+00,2.60E+00,8.44E+02,3.25E+02,
Nts,Nts,1.71E-16,8.42E-14,9.22E+00,9.22E+00,2.84E+02,3.08E+01,
Cdk1,Cdk1,1.92E-16,9.11E-14,1.00E+01,1.00E+01,2.99E+02,2.99E+01,
Clic1,Clic1,3.01E-16,1.38E-13,2.60E+00,2.60E+00,4.02E+03,1.55E+03,
Ccnb2,Ccnb2,4.71E-16,2.09E-13,1.11E+01,1.11E+01,2.28E+02,2.06E+01,
Ckap2l,Ckap2l,5.34E-16,2.30E-13,1.56E+01,1.56E+01,1.66E+02,1.06E+01,
S100a10,S100a10,5.69E-16,2.36E-13,2.24E+00,2.24E+00,1.93E+03,8.59E+02,
Cysltr1,Cysltr1,5.87E-16,2.36E-13,5.94E+00,5.94E+00,1.87E+02,3.15E+01,
Anxa1,Anxa1,6.29E-16,2.36E-13,3.32E+00,3.32E+00,3.28E+03,9.86E+02,
Psrc1,Psrc1,6.30E-16,2.36E-13,1.05E+01,1.05E+01,1.09E+02,1.04E+01,
Tuba1a,Tuba1a,6.34E-16,2.36E-13,2.17E+00,2.17E+00,1.27E+04,5.87E+03,
Lyve1,Lyve1,7.50E-16,2.72E-13,3.10E+00,3.10E+00,1.28E+03,4.12E+02,
H2-Eb1,H2-Eb1,9.96E-16,3.44E-13,2.53E-01,-3.96E+00,2.70E+02,1.07E+03,
Tspan2,Tspan2,1.00E-15,3.44E-13,2.64E+00,2.64E+00,3.74E+02,1.42E+02,
Myl6,Myl6,1.59E-15,5.34E-13,1.61E+00,1.61E+00,7.17E+03,4.45E+03,
Mcam,Mcam,6.47E-15,2.12E-12,2.92E+00,2.92E+00,1.44E+03,4.93E+02,
Tubb5,Tubb5,6.76E-15,2.16E-12,1.98E+00,1.98E+00,6.53E+03,3.31E+03,
Cfb,Cfb,6.93E-15,2.17E-12,5.72E+00,5.72E+00,3.36E+02,5.88E+01,
Mt2,Mt2,7.74E-15,2.37E-12,4.70E+00,4.70E+00,1.32E+03,2.82E+02,
Fkbp4,Fkbp4,1.57E-14,4.69E-12,4.84E-01,-2.07E+00,6.28E+03,1.30E+04,
Plat,Plat,1.73E-14,5.08E-12,3.16E+00,3.16E+00,2.07E+03,6.57E+02,
Cd74,Cd74,1.93E-14,5.53E-12,2.48E-01,-4.04E+00,1.97E+03,7.94E+03,
Ccl6,Ccl6,2.02E-14,5.65E-12,4.95E+00,4.95E+00,1.53E+03,3.09E+02,
Tmem100,Tmem100,2.05E-14,5.65E-12,2.82E+00,2.82E+00,1.83E+03,6.48E+02,
