Ephx1,Ephx1,3.06E-100,5.81E-96,4.62E+00,4.62E+00,2.77E+03,6.00E+02
Zmat3,Zmat3,7.68E-91,7.29E-87,2.93E+00,2.93E+00,1.79E+03,6.13E+02
Ccng1,Ccng1,1.65E-87,1.05E-83,2.31E+00,2.31E+00,5.06E+03,2.19E+03
Acot12,Acot12,1.49E-85,7.09E-82,4.18E-01,-2.39E+00,1.21E+03,2.88E+03
Serpine2,Serpine2,3.19E-82,1.21E-78,4.38E+00,4.38E+00,5.03E+02,1.15E+02
Phlda3,Phlda3,1.22E-80,3.86E-77,8.17E+00,8.17E+00,5.93E+02,7.25E+01
Dscaml1,Dscaml1,4.56E-70,1.24E-66,1.42E+01,1.42E+01,2.20E+02,1.54E+01
Cdkn1a,Cdkn1a,9.72E-63,2.31E-59,3.96E+01,3.96E+01,1.66E+03,4.20E+01
Sulf2,Sulf2,1.06E-57,2.25E-54,2.73E+00,2.73E+00,1.16E+03,4.26E+02
Hsd17b11,Hsd17b11,1.74E-57,3.31E-54,2.81E-01,-3.56E+00,1.24E+03,4.42E+03
Igfbp5,Igfbp5,3.27E-52,5.66E-49,2.47E+00,2.47E+00,1.53E+04,6.19E+03
Col1a1,Col1a1,4.77E-50,7.55E-47,3.68E+00,3.68E+00,9.21E+02,2.50E+02
Lipo3,Lipo3,2.02E-48,2.96E-45,2.75E-01,-3.64E+00,1.68E+02,6.10E+02
Gsta2,Gsta2,1.88E-46,2.56E-43,3.37E+00,3.37E+00,3.14E+03,9.33E+02
Ces2e,Ces2e,8.14E-45,1.03E-41,7.37E+00,7.37E+00,9.87E+02,1.34E+02
Col1a2,Col1a2,5.93E-43,7.04E-40,2.55E+00,2.55E+00,1.84E+03,7.22E+02
Col5a1,Col5a1,5.37E-41,6.01E-38,3.14E+00,3.14E+00,5.59E+02,1.78E+02
Nphs2,Nphs2,5.84E-40,6.16E-37,2.33E+00,2.33E+00,1.02E+03,4.36E+02
Eda2r,Eda2r,1.37E-39,1.37E-36,2.66E+01,2.66E+01,1.19E+02,4.48E+00
Sugct,Sugct,6.58E-38,6.25E-35,4.88E-01,-2.05E+00,5.49E+02,1.13E+03
Kynu,Kynu,1.33E-37,1.20E-34,6.73E+00,6.73E+00,2.89E+02,4.29E+01
Map3k20,Map3k20,1.61E-37,1.39E-34,2.44E+00,2.44E+00,4.20E+02,1.72E+02
Aen,Aen,2.79E-37,2.31E-34,2.16E+00,2.16E+00,7.84E+02,3.63E+02
Tmem43,Tmem43,2.92E-36,2.31E-33,2.66E+00,2.66E+00,6.57E+02,2.47E+02
Narf,Narf,3.12E-36,2.37E-33,1.97E+00,1.97E+00,1.22E+03,6.17E+02
Mgmt,Mgmt,1.99E-35,1.46E-32,3.38E+00,3.38E+00,2.83E+02,8.38E+01
Hao2,Hao2,2.21E-35,1.56E-32,2.54E+00,2.54E+00,4.69E+03,1.85E+03
Ces1d,Ces1d,8.71E-35,5.91E-32,5.58E-01,-1.79E+00,2.79E+03,5.00E+03
Cox6b2,Cox6b2,1.82E-34,1.19E-31,7.45E+00,7.45E+00,3.38E+02,4.54E+01
Aldh1a1,Aldh1a1,2.65E-34,1.68E-31,4.85E+00,4.85E+00,5.20E+02,1.07E+02
Fbn1,Fbn1,3.41E-34,2.09E-31,2.94E+00,2.94E+00,5.20E+02,1.77E+02
Slc16a7,Slc16a7,4.95E-34,2.94E-31,1.63E+00,1.63E+00,2.26E+03,1.39E+03
Nid1,Nid1,1.49E-32,8.55E-30,2.62E+00,2.62E+00,1.77E+03,6.75E+02
Pank1,Pank1,1.80E-32,1.00E-29,4.19E-01,-2.39E+00,2.32E+03,5.54E+03
Agps,Agps,3.00E-32,1.63E-29,3.15E-01,-3.17E+00,1.37E+03,4.36E+03
Emilin1,Emilin1,5.59E-32,2.95E-29,1.96E+00,1.96E+00,8.81E+02,4.49E+02
Ace,Ace,6.84E-32,3.51E-29,3.04E-01,-3.29E+00,2.14E+03,7.04E+03
Plk2,Plk2,3.25E-31,1.62E-28,3.76E+00,3.76E+00,4.23E+02,1.12E+02
Cpox,Cpox,4.42E-31,2.16E-28,5.95E-01,-1.68E+00,1.04E+03,1.75E+03
Psrc1,Psrc1,1.11E-30,5.25E-28,1.72E+01,1.72E+01,9.21E+01,5.36E+00
Nt5dc2,Nt5dc2,1.31E-30,6.08E-28,4.07E-01,-2.46E+00,2.93E+02,7.20E+02
Abcd3,Abcd3,2.12E-30,9.61E-28,6.41E-01,-1.56E+00,2.97E+03,4.63E+03
Synpo,Synpo,2.60E-30,1.15E-27,1.70E+00,1.70E+00,1.46E+03,8.58E+02
Col15a1,Col15a1,8.67E-30,3.75E-27,2.63E+00,2.63E+00,7.11E+02,2.71E+02
Gm10639,Gm10639,1.04E-29,4.38E-27,5.75E+00,5.75E+00,2.06E+02,3.58E+01
Sparcl1,Sparcl1,1.14E-29,4.71E-27,4.75E+00,4.75E+00,8.12E+02,1.71E+02
Vill,Vill,1.38E-29,5.58E-27,4.02E-01,-2.49E+00,5.49E+02,1.37E+03
Inka2,Inka2,4.82E-29,1.91E-26,1.03E+01,1.03E+01,1.18E+02,1.15E+01
Met,Met,7.09E-29,2.75E-26,5.31E-01,-1.88E+00,1.56E+03,2.94E+03
Abcc4,Abcc4,9.28E-29,3.53E-26,1.99E+00,1.99E+00,1.66E+03,8.34E+02
Exoc4,Exoc4,5.81E-28,2.16E-25,1.71E+00,1.71E+00,1.29E+03,7.56E+02
Gm45011,Gm45011,6.71E-28,2.45E-25,1.04E+01,1.04E+01,7.99E+01,7.70E+00
Spp1,Spp1,1.08E-27,3.87E-25,1.91E+00,1.91E+00,8.23E+03,4.31E+03
Npl,Npl,2.46E-27,8.66E-25,2.89E+00,2.89E+00,1.01E+03,3.50E+02
Amacr,Amacr,5.43E-27,1.88E-24,3.00E-01,-3.33E+00,1.61E+03,5.38E+03
Bhmt,Bhmt,2.01E-26,6.83E-24,6.50E+00,6.50E+00,2.26E+02,3.47E+01
Col6a2,Col6a2,2.19E-26,7.30E-24,1.33E+01,1.33E+01,1.59E+03,1.19E+02
Srd5a2,Srd5a2,6.63E-26,2.15E-23,1.61E-01,-6.23E+00,2.35E+01,1.46E+02
Cd36,Cd36,6.68E-26,2.15E-23,4.16E-01,-2.40E+00,1.47E+03,3.52E+03
Prom1,Prom1,1.40E-25,4.45E-23,2.35E+00,2.35E+00,1.53E+03,6.54E+02
Nat8,Nat8,1.69E-25,5.26E-23,4.65E-01,-2.15E+00,1.80E+03,3.86E+03
Col6a1,Col6a1,1.82E-25,5.58E-23,1.01E+01,1.01E+01,2.27E+03,2.26E+02
Acox1,Acox1,2.46E-25,7.42E-23,6.01E-01,-1.66E+00,1.29E+04,2.14E+04
Adh1,Adh1,2.84E-25,8.44E-23,3.85E-01,-2.60E+00,2.64E+03,6.87E+03
Sparc,Sparc,3.59E-25,1.05E-22,2.14E+00,2.14E+00,2.34E+03,1.10E+03
Entpd4,Entpd4,4.16E-25,1.20E-22,4.65E-01,-2.15E+00,9.18E+02,1.97E+03
Slc27a2,Slc27a2,6.34E-25,1.80E-22,5.75E-01,-1.74E+00,4.78E+04,8.31E+04
Vstm4,Vstm4,7.10E-25,1.98E-22,3.67E+00,3.67E+00,2.23E+02,6.08E+01
Itgb4,Itgb4,7.71E-25,2.12E-22,2.36E+00,2.36E+00,3.12E+02,1.32E+02
Piezo1,Piezo1,9.14E-25,2.48E-22,1.80E+00,1.80E+00,3.40E+03,1.88E+03
Acsm1,Acsm1,1.63E-24,4.36E-22,5.86E-01,-1.71E+00,1.18E+03,2.01E+03
Lars2,Lars2,1.96E-24,5.10E-22,3.69E-01,-2.71E+00,1.47E+03,3.99E+03
Acsf2,Acsf2,1.96E-24,5.10E-22,2.03E+00,2.03E+00,6.12E+02,3.01E+02
Pla2g5,Pla2g5,2.66E-24,6.83E-22,2.22E+00,2.22E+00,2.31E+02,1.04E+02
Adhfe1,Adhfe1,3.04E-24,7.71E-22,6.46E-01,-1.55E+00,2.66E+03,4.11E+03
Anks1b,Anks1b,7.14E-24,1.78E-21,1.29E-01,-7.74E+00,8.45E+00,6.54E+01
Prxl2a,Prxl2a,1.07E-23,2.63E-21,6.49E-01,-1.54E+00,8.12E+02,1.25E+03
Epo,Epo,1.09E-23,2.64E-21,2.99E+03,2.99E+03,8.78E+02,2.93E-01
Sema3g,Sema3g,1.30E-23,3.13E-21,2.43E+00,2.43E+00,1.58E+03,6.48E+02
Slc7a8,Slc7a8,1.53E-23,3.64E-21,1.54E+00,1.54E+00,4.45E+03,2.89E+03
Cndp1,Cndp1,1.77E-23,4.14E-21,5.76E-01,-1.74E+00,5.99E+02,1.04E+03
Arhgef17,Arhgef17,1.92E-23,4.44E-21,1.39E+00,1.39E+00,2.24E+03,1.62E+03
Epb41l3,Epb41l3,4.55E-23,1.04E-20,1.72E+00,1.72E+00,1.42E+03,8.30E+02
Frzb,Frzb,1.48E-22,3.35E-20,4.72E-01,-2.12E+00,2.15E+02,4.54E+02
Slc17a1,Slc17a1,1.57E-22,3.50E-20,5.25E-01,-1.90E+00,2.79E+03,5.32E+03
Tmem237,Tmem237,3.28E-22,7.24E-20,3.94E-01,-2.54E+00,1.39E+02,3.52E+02
Cd248,Cd248,9.14E-22,2.00E-19,2.74E+00,2.74E+00,2.70E+02,9.85E+01
Entpd4b,Entpd4b,1.14E-21,2.46E-19,4.61E-01,-2.17E+00,7.06E+02,1.53E+03
Hsp90ab1,Hsp90ab1,1.30E-21,2.78E-19,6.44E-01,-1.55E+00,7.69E+03,1.19E+04
Acadm,Acadm,2.09E-21,4.42E-19,6.46E-01,-1.55E+00,5.61E+03,8.68E+03
Ngef,Ngef,2.35E-21,4.90E-19,6.69E-01,-1.50E+00,9.90E+02,1.48E+03
Acat1,Acat1,2.75E-21,5.68E-19,5.66E-01,-1.77E+00,4.96E+03,8.75E+03
Serping1,Serping1,3.16E-21,6.45E-19,2.82E+00,2.82E+00,1.01E+03,3.59E+02
Pdgfrb,Pdgfrb,3.26E-21,6.59E-19,1.88E+00,1.88E+00,1.08E+03,5.78E+02
Il34,Il34,3.30E-21,6.61E-19,3.76E-01,-2.66E+00,1.27E+02,3.36E+02
Ttr,Ttr,3.38E-21,6.69E-19,3.13E-01,-3.20E+00,5.78E+02,1.85E+03
Gm37795,Gm37795,4.35E-21,8.52E-19,4.69E+00,4.69E+00,7.71E+01,1.65E+01
Gm16010,Gm16010,5.64E-21,1.09E-18,3.94E+00,3.94E+00,5.03E+02,1.28E+02
Slc18a1,Slc18a1,7.28E-21,1.40E-18,3.73E-01,-2.68E+00,1.29E+03,3.47E+03
Car4,Car4,9.21E-21,1.75E-18,5.42E-01,-1.85E+00,1.17E+03,2.17E+03
Ren1,Ren1,1.04E-20,1.95E-18,4.48E+00,4.48E+00,2.76E+03,6.17E+02
Ephx2,Ephx2,2.24E-20,4.17E-18,4.67E-01,-2.14E+00,2.40E+03,5.14E+03
Paqr7,Paqr7,2.70E-20,4.98E-18,4.13E-01,-2.42E+00,8.61E+02,2.09E+03
Gm45051,Gm45051,6.07E-20,1.11E-17,4.03E-01,-2.48E+00,1.16E+02,2.88E+02
Col4a1,Col4a1,6.32E-20,1.14E-17,1.86E+00,1.86E+00,4.94E+03,2.66E+03
Hrg,Hrg,6.65E-20,1.19E-17,1.79E-01,-5.59E+00,2.32E+01,1.29E+02
Mbp,Mbp,7.57E-20,1.33E-17,2.39E+00,2.39E+00,4.05E+02,1.69E+02
Eci3,Eci3,7.57E-20,1.33E-17,5.10E-01,-1.96E+00,9.83E+02,1.93E+03
