Pfkfb3,Pfkfb3,9.06E-29,1.12E-24,3.18E+00,3.18E+00,5.33E+03,1.68E+03
Pnmt,Pnmt,3.50E-22,2.16E-18,9.98E+00,9.98E+00,1.38E+02,1.38E+01
Acer2,Acer2,1.21E-15,4.98E-12,5.05E+00,5.05E+00,4.10E+02,8.12E+01
Smtnl2,Smtnl2,3.58E-14,1.10E-10,4.72E-01,-2.12E+00,2.09E+03,4.42E+03
Higd1b,Higd1b,1.04E-12,2.57E-09,2.88E+00,2.88E+00,1.48E+02,5.15E+01
Nr1d1,Nr1d1,2.53E-12,5.19E-09,2.58E+00,2.58E+00,5.78E+03,2.24E+03
Cdkn1a,Cdkn1a,1.42E-11,2.50E-08,9.51E+00,9.51E+00,1.79E+03,1.88E+02
Ccl2,Ccl2,1.91E-11,2.94E-08,4.99E+00,4.99E+00,6.17E+01,1.24E+01
Mmrn2,Mmrn2,1.79E-10,2.46E-07,1.50E+00,1.50E+00,7.47E+02,4.98E+02
Egln3,Egln3,4.24E-10,5.22E-07,4.49E+00,4.49E+00,6.05E+02,1.35E+02
Eloa,Eloa,5.07E-10,5.57E-07,1.42E+00,1.42E+00,2.61E+03,1.85E+03
Pfkl,Pfkl,5.45E-10,5.57E-07,1.78E+00,1.78E+00,5.40E+02,3.03E+02
Car14,Car14,5.88E-10,5.57E-07,2.22E+00,2.22E+00,2.09E+03,9.38E+02
Gm42047,Gm42047,7.46E-10,6.56E-07,1.06E+01,1.06E+01,1.09E+02,1.03E+01
Angpt2,Angpt2,1.24E-09,1.02E-06,2.47E+00,2.47E+00,2.25E+02,9.09E+01
Amd1,Amd1,1.42E-09,1.09E-06,3.14E-01,-3.19E+00,4.13E+03,1.32E+04
Rgs4,Rgs4,1.88E-09,1.36E-06,2.22E+00,2.22E+00,7.38E+02,3.32E+02
Icam1,Icam1,3.35E-09,2.29E-06,3.05E+00,3.05E+00,2.39E+02,7.83E+01
Pecam1,Pecam1,5.67E-09,3.68E-06,1.60E+00,1.60E+00,2.10E+03,1.31E+03
Mylk4,Mylk4,1.53E-08,9.40E-06,4.95E-01,-2.02E+00,1.87E+04,3.78E+04
Golga7b,Golga7b,2.00E-08,1.17E-05,2.00E+00,2.00E+00,2.50E+02,1.25E+02
Hectd2os,Hectd2os,2.17E-08,1.21E-05,3.04E+00,3.04E+00,2.40E+02,7.87E+01
Ifrd1,Ifrd1,3.63E-08,1.94E-05,2.00E+00,2.00E+00,1.26E+03,6.31E+02
St6galnac4,St6galnac4,5.15E-08,2.64E-05,1.94E+00,1.94E+00,5.77E+02,2.97E+02
Paqr7,Paqr7,5.46E-08,2.69E-05,4.70E-01,-2.13E+00,1.66E+02,3.54E+02
Amd2,Amd2,6.84E-08,3.24E-05,3.44E-01,-2.90E+00,1.43E+03,4.15E+03
Dnajb5,Dnajb5,7.97E-08,3.64E-05,1.36E+00,1.36E+00,4.15E+03,3.05E+03
Gstm2,Gstm2,9.95E-08,4.38E-05,1.92E+00,1.92E+00,2.73E+03,1.42E+03
Cdk19,Cdk19,1.30E-07,5.37E-05,4.65E-01,-2.15E+00,8.56E+01,1.84E+02
Acat2,Acat2,1.33E-07,5.37E-05,6.08E-01,-1.64E+00,2.44E+02,4.01E+02
Gm4544,Gm4544,1.35E-07,5.37E-05,2.55E+00,2.55E+00,4.51E+02,1.77E+02
Pgf,Pgf,1.52E-07,5.85E-05,2.89E+00,2.89E+00,8.85E+01,3.06E+01
Pthlh,Pthlh,1.87E-07,6.96E-05,3.30E-01,-3.03E+00,3.82E+01,1.16E+02
Ak4,Ak4,2.07E-07,7.49E-05,2.87E+00,2.87E+00,1.91E+02,6.64E+01
Prtn3,Prtn3,2.47E-07,8.71E-05,8.93E-03,-1.12E+02,2.74E-01,3.07E+01
